region,hemi,value1,value2
ORBm,left,NA,NA
ORBm1,right,NA,NA
ORBm1,left,NA,NA
ORBm2/3,right,NA,NA
ORBm2/3,left,NA,NA
ORBm5,right,NA,NA
ORBm5,left,NA,NA
ORBm6a,right,NA,NA
ORBm6a,left,NA,NA
ORBm6b,right,NA,NA
ORBm6b,left,NA,NA
ORBvl,right,NA,NA
ORBvl,left,NA,NA
ORBvl1,right,NA,NA
ORBvl1,left,NA,NA
ORBvl2/3,right,NA,NA
ORBvl2/3,left,NA,NA
ORBvl5,right,NA,NA
ORBvl5,left,NA,NA
ORBvl6a,right,NA,NA
ORBvl6a,left,NA,NA
ORBvl6b,right,NA,NA
ORBvl6b,left,NA,NA
OT,right,NA,NA
OT,left,NA,NA
OV,right,NA,NA
OV,left,NA,NA
P,right,NA,NA
P,left,NA,NA
P-mot,right,NA,NA
P-mot,left,NA,NA
P-sat,right,NA,NA
P-sat,left,NA,NA
P-sen,right,NA,NA
P-sen,left,NA,NA
P5,right,NA,NA
P5,left,NA,NA
PA,right,NA,NA
PA,left,NA,NA
Pa4,right,NA,NA
Pa4,left,NA,NA
Pa5,right,NA,NA
Pa5,left,NA,NA
PAA,right,NA,NA
PAA,left,NA,NA
PAG,right,NA,NA
PAG,left,NA,NA
PAL,right,NA,NA
PAL,left,NA,NA
PALc,right,NA,NA
PALc,left,NA,NA
PALd,right,NA,NA
PALd,left,NA,NA
PALm,right,NA,NA
PALm,left,NA,NA
PALv,right,NA,NA
PALv,left,NA,NA
PAR,right,NA,NA
PAR,left,NA,NA
PARN,right,NA,NA
PARN,left,NA,NA
PAS,right,NA,NA
PAS,left,NA,NA
PB,right,NA,NA
PB,left,NA,NA
PBG,right,NA,NA
PBG,left,NA,NA
pc,right,NA,NA
pc,left,NA,NA
PC5,right,NA,NA
PC5,left,NA,NA
PCG,right,NA,NA
PCG,left,NA,NA
PCN,right,NA,NA
PCN,left,NA,NA
PD,right,NA,NA
PD,left,NA,NA
PDTg,right,NA,NA
PDTg,left,NA,NA
PeF,right,NA,NA
PeF,left,NA,NA
PERI,right,NA,NA
PERI,left,NA,NA
PERI1,right,NA,NA
PERI1,left,NA,NA
PERI2/3,right,NA,NA
PERI2/3,left,NA,NA
PERI5,right,NA,NA
PERI5,left,NA,NA
PERI6a,right,NA,NA
PERI6a,left,NA,NA
PERI6b,right,NA,NA
PERI6b,left,NA,NA
PF,right,NA,NA
PF,left,NA,NA
PFL,right,NA,NA
PFL,left,NA,NA
PG,right,NA,NA
PG,left,NA,NA
PGRN,right,NA,NA
PGRN,left,NA,NA
PGRNd,right,NA,NA
PGRNd,left,NA,NA
PGRNl,right,NA,NA
PGRNl,left,NA,NA
PH,right,NA,NA
PH,left,NA,NA
PHY,right,NA,NA
PHY,left,NA,NA
PIL,right,NA,NA
PIL,left,NA,NA
PIR,right,NA,NA
PIR,left,NA,NA
PL,right,NA,NA
PL,left,NA,NA
PL1,right,NA,NA
PL1,left,NA,NA
PL2/3,right,NA,NA
PL2/3,left,NA,NA
PL5,right,NA,NA
PL5,left,NA,NA
PL6a,right,NA,NA
PL6a,left,NA,NA
PL6b,right,NA,NA
PL6b,left,NA,NA
pm,right,NA,NA
pm,left,NA,NA
PMd,right,NA,NA
PMd,left,NA,NA
PMv,right,NA,NA
PMv,left,NA,NA
PN,right,NA,NA
PN,left,NA,NA
PO,right,NA,NA
PO,left,NA,NA
POL,right,NA,NA
POL,left,NA,NA
POR,right,NA,NA
POR,left,NA,NA
POST,right,NA,NA
POST,left,NA,NA
PoT,right,NA,NA
PoT,left,NA,NA
PP,right,NA,NA
PP,left,NA,NA
PPN,right,NA,NA
PPN,left,NA,NA
PPT,right,NA,NA
PPT,left,NA,NA
PPY,right,NA,NA
PPY,left,NA,NA
PR,right,NA,NA
PR,left,NA,NA
PRC,right,NA,NA
PRC,left,NA,NA
PRE,right,NA,NA
PRE,left,NA,NA
PRM,right,NA,NA
PRM,left,NA,NA
PRNc,right,NA,NA
PRNc,left,NA,NA
PRNr,right,NA,NA
PRNr,left,NA,NA
ProS,right,NA,NA
ProS,left,NA,NA
PRP,right,NA,NA
PRP,left,NA,NA
PRT,right,NA,NA
PRT,left,NA,NA
PS,right,NA,NA
PS,left,NA,NA
PST,right,NA,NA
PST,left,NA,NA
PSTN,right,NA,NA
PSTN,left,NA,NA
PSV,right,NA,NA
PSV,left,NA,NA
PT,right,NA,NA
PT,left,NA,NA
PTLp,right,NA,NA
PTLp,left,NA,NA
PVa,right,NA,NA
PVa,left,NA,NA
PVH,right,NA,NA
PVH,left,NA,NA
PVHd,right,NA,NA
PVHd,left,NA,NA
PVi,right,NA,NA
PVi,left,NA,NA
PVp,right,NA,NA
PVp,left,NA,NA
PVpo,right,NA,NA
PVpo,left,NA,NA
PVR,right,NA,NA
PVR,left,NA,NA
PVT,right,NA,NA
PVT,left,NA,NA
PVZ,right,NA,NA
PVZ,left,NA,NA
py,right,NA,NA
py,left,NA,NA
pyd,right,NA,NA
pyd,left,NA,NA
PYR,right,NA,NA
PYR,left,NA,NA
RAmb,right,NA,NA
RAmb,left,NA,NA
RCH,right,NA,NA
RCH,left,NA,NA
RE,right,NA,NA
RE,left,NA,NA
RH,right,NA,NA
RH,left,NA,NA
RHP,right,NA,NA
RHP,left,NA,NA
RL,right,NA,NA
RL,left,NA,NA
RM,right,NA,NA
RM,left,NA,NA
RN,right,NA,NA
RN,left,NA,NA
RO,right,NA,NA
RO,left,NA,NA
root,right,NA,NA
root,left,NA,NA
RPA,right,NA,NA
RPA,left,NA,NA
RPF,right,NA,NA
RPF,left,NA,NA
RPO,right,NA,NA
RPO,left,NA,NA
RR,right,NA,NA
RR,left,NA,NA
RSP,right,NA,NA
RSP,left,NA,NA
RSPagl,right,NA,NA
RSPagl,left,NA,NA
RSPagl1,right,NA,NA
RSPagl1,left,NA,NA
